---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
| localite                                                               | departement                                                          | region                                                                  |
| "Châtellerault"^^<http://www.w3.org/2001/XMLSchema#string>             | "Vienne"^^<http://www.w3.org/2001/XMLSchema#string>                  | "Poitou-Charentes"^^<http://www.w3.org/2001/XMLSchema#string>           |
| "Corbeil-Essonnes"^^<http://www.w3.org/2001/XMLSchema#string>          | "Essonne"^^<http://www.w3.org/2001/XMLSchema#string>                 | "Île-de-France"^^<http://www.w3.org/2001/XMLSchema#string>              |
| "Fontenay-aux-Roses"^^<http://www.w3.org/2001/XMLSchema#string>        | "Hauts-de-Seine"^^<http://www.w3.org/2001/XMLSchema#string>          | "Île-de-France"^^<http://www.w3.org/2001/XMLSchema#string>              |
| "Neuilly-sur-Seine"^^<http://www.w3.org/2001/XMLSchema#string>         | "Hauts-de-Seine"^^<http://www.w3.org/2001/XMLSchema#string>          | "Île-de-France"^^<http://www.w3.org/2001/XMLSchema#string>              |
| "Rueil-Malmaison"^^<http://www.w3.org/2001/XMLSchema#string>           | "Hauts-de-Seine"^^<http://www.w3.org/2001/XMLSchema#string>          | "Île-de-France"^^<http://www.w3.org/2001/XMLSchema#string>              |
| "Vanves"^^<http://www.w3.org/2001/XMLSchema#string>                    | "Hauts-de-Seine"^^<http://www.w3.org/2001/XMLSchema#string>          | "Île-de-France"^^<http://www.w3.org/2001/XMLSchema#string>              |
| "Alfortville"^^<http://www.w3.org/2001/XMLSchema#string>               | "Val-de-Marne"^^<http://www.w3.org/2001/XMLSchema#string>            | "Île-de-France"^^<http://www.w3.org/2001/XMLSchema#string>              |
| "Champigny-sur-Marne"^^<http://www.w3.org/2001/XMLSchema#string>       | "Val-de-Marne"^^<http://www.w3.org/2001/XMLSchema#string>            | "Île-de-France"^^<http://www.w3.org/2001/XMLSchema#string>              |
| "Sucy-en-Brie"^^<http://www.w3.org/2001/XMLSchema#string>              | "Val-de-Marne"^^<http://www.w3.org/2001/XMLSchema#string>            | "Île-de-France"^^<http://www.w3.org/2001/XMLSchema#string>              |
| "Cormeilles-en-Parisis"^^<http://www.w3.org/2001/XMLSchema#string>     | "Val-d'Oise"^^<http://www.w3.org/2001/XMLSchema#string>              | "Île-de-France"^^<http://www.w3.org/2001/XMLSchema#string>              |
| "Eaubonne"^^<http://www.w3.org/2001/XMLSchema#string>                  | "Val-d'Oise"^^<http://www.w3.org/2001/XMLSchema#string>              | "Île-de-France"^^<http://www.w3.org/2001/XMLSchema#string>              |
| "Cayenne"^^<http://www.w3.org/2001/XMLSchema#string>                   | "Guyane"^^<http://www.w3.org/2001/XMLSchema#string>                  | "Guyane"^^<http://www.w3.org/2001/XMLSchema#string>                     |
| "Saint-Louis"^^<http://www.w3.org/2001/XMLSchema#string>               | "La Réunion"^^<http://www.w3.org/2001/XMLSchema#string>              | "La Réunion"^^<http://www.w3.org/2001/XMLSchema#string>                 |
| "Troyes"^^<http://www.w3.org/2001/XMLSchema#string>                    | "Aube"^^<http://www.w3.org/2001/XMLSchema#string>                    | "Champagne-Ardenne"^^<http://www.w3.org/2001/XMLSchema#string>          |
| "Carcassonne"^^<http://www.w3.org/2001/XMLSchema#string>               | "Aude"^^<http://www.w3.org/2001/XMLSchema#string>                    | "Languedoc-Roussillon"^^<http://www.w3.org/2001/XMLSchema#string>       |
| "Aubagne"^^<http://www.w3.org/2001/XMLSchema#string>                   | "Bouches-du-Rhône"^^<http://www.w3.org/2001/XMLSchema#string>        | "Provence-Alpes-Côte d'Azur"^^<http://www.w3.org/2001/XMLSchema#string> |
| "Ciotat"^^<http://www.w3.org/2001/XMLSchema#string>                    | "Bouches-du-Rhône"^^<http://www.w3.org/2001/XMLSchema#string>        | "Provence-Alpes-Côte d'Azur"^^<http://www.w3.org/2001/XMLSchema#string> |
| "Marseille"^^<http://www.w3.org/2001/XMLSchema#string>                 | "Bouches-du-Rhône"^^<http://www.w3.org/2001/XMLSchema#string>        | "Provence-Alpes-Côte d'Azur"^^<http://www.w3.org/2001/XMLSchema#string> |
